210	8	8	12	3	2
211	9	8	11	12	7
212	9	13	5	1	4
213	9	11	5	10	1
214	16	15	14	9	12
215	11	3	4	7	3
216	7	1	2	1	0
217	10	9	2	11	8
218	15	14	15	9	10
219	9	4	4	5	3
220	15	2	7	7	9
221	15	11	12	15	17
222	17	3	2	8	7
223	14	8	4	5	13
224	8	9	8	6	5
225	15	11	4	11	14
226	4	4	0	0	2
227	9	5	11	2	7
228	16	16	6	11	6
229	8	10	9	7	13
230	9	4	6	8	8
231	13	12	13	14	8
232	19	19	11	16	17
233	13	8	3	13	6
234	6	11	0	2	4
235	14	9	2	7	5
236	16	2	5	5	6
237	7	3	4	6	4
238	10	13	12	5	14
239	8	2	1	1	6
240	8	9	8	2	12
241	7	4	5	5	7
242	10	3	6	3	3
243	14	4	2	2	4
244	10	7	9	14	14
245	0	2	3	7	16
246	18	16	12	12	12
247	14	7	14	10	9
248	15	8	5	11	11
249	10	6	10	6	2
250	9	4	4	7	4
251	12	7	5	10	6
252	11	10	0	6	3
253	13	6	9	2	5
254	13	10	7	3	4
255	8	4	2	5	8
256	6	3	6	4	5
257	16	15	17	15	16
258	10	7	3	6	2
259	13	10	0	2	1
260	7	11	7	7	6
261	7	4	2	2	1
262	12	9	3	10	9
263	4	14	8	5	8
264	9	1	4	9	8
265	8	4	0	0	0
266	8	11	7	1	7
267	15	6	3	7	11
268	5	15	10	14	16
269	14	7	11	9	4
270	11	12	14	10	13
271	12	9	3	11	6
272	7	2	6	13	10
273	14	17	4	5	4
274	6	1	0	0	0
275	5	10	6	0	6
276	6	6	5	5	2
277	18	17	8	12	16
278	9	2	2	8	1
279	16	9	14	15	5
280	11	2	4	1	0
281	9	6	6	9	5
282	11	5	9	11	5
283	3	2	2	3	2
284	14	8	11	11	6
285	11	7	14	8	13
286	13	11	14	10	13
287	13	15	11	1	6
288	10	7	1	6	2
289	9	2	5	9	7
290	11	3	3	1	3
291	7	13	14	11	8
292	9	10	6	3	5
293	12	8	2	4	3
294	14	6	9	16	13
295	6	2	0	3	3
296	6	8	12	5	14
297	9	11	2	1	1
298	5	10	10	1	8
299	6	5	9	5	6
300	11	10	9	4	6
301	11	1	9	2	1
302	14	12	8	15	13
303	9	6	0	0	0
304	8	6	13	15	10
305	8	5	1	1	0
306	0	6	6	5	6
307	12	10	5	12	1
308	7	9	2	4	0
309	8	16	12	8	14
310	14	8	3	2	3
311	6	2	6	1	1
312	13	8	3	2	1
313	8	9	11	9	4
314	8	9	13	12	5
315	7	8	4	12	15
316	9	8	5	2	2
317	10	16	10	10	7
318	9	5	9	4	1
319	12	16	11	10	9
320	18	2	1	1	2
321	7	5	5	1	7
322	10	1	1	2	0
323	8	0	2	8	6
324	14	14	16	16	17
325	11	5	1	4	6
326	5	7	6	1	12
327	6	5	8	11	12
328	10	2	7	6	9
329	9	11	7	7	12
330	9	3	11	5	5
331	12	6	6	6	2
332	13	15	9	16	9
333	11	12	6	3	7
334	5	2	1	4	0
335	11	6	11	11	12
336	10	6	2	6	4
337	4	0	7	8	1
338	14	11	2	2	3
339	16	7	2	7	8
340	11	10	13	14	6
341	12	2	2	5	0
342	14	10	13	12	8
343	2	7	6	12	8
344	7	9	9	11	9
345	19	13	15	15	13
346	16	13	11	13	10
347	7	4	11	3	10
348	11	7	3	12	4
349	11	5	2	2	3
350	7	1	0	2	2
